score,run,niche,niche_source,niche_confidence,company,domain,segment,revenue_eur,employees,y_tunnus,google_ads,conv_tracking,meta_pixel,quality_issues,issue_flags,platform,email,phone,city,google_verified_live,google_advertiser_name,ads_status,advertiser_reconciliation,advertiser_match_score
42,resultsd,cleaning,keywords,0.5,Siivouspalvelut Oulu | Kotisiivous ja pihatyöt Oulun seudull,arvojes.fi,A_ads_weak_site,,,,True,True,False,2,"stale_copyright,slow_response",wordpress,,,,True,Arvojes Oy,ADVERTISER_MISMATCH,mismatch,0.22
42,resultsd,,none,0.0,M-Kone - Perämoottorin varaosat,mkone.fi,A_ads_weak_site,,,,True,True,False,2,"no_h1,slow_response",,,,,True,M-Kone,LIVE_CONFIRMED,match,1.00
42,resultsd,cleaning,keywords,0.5,Etusivu - Pirkanmaan Laatuis&auml;nn&ouml;inti Oy,pirkanmaanlaatuisannointi.fi,A_ads_weak_site,,,,True,True,False,2,"stale_copyright,slow_response",wordpress,,,,True,Joni Ilari Brander,ADVERTISER_MISMATCH,mismatch,0.23
42,resultsd,,none,0.0,Reilu Isännöinti &#8211; Turhautuminen vanhakantaisiin työta,reiluisannointi.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,,True,Reilu Isännöinti Oy,LIVE_CONFIRMED,match,0.90
42,resultsd,cleaning,keywords,0.5,Siivous Oulu: Palvelu yrityksille ja kotitalouksille,serviceone.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,,True,A&A Palvelut Oy,ADVERTISER_MISMATCH,mismatch,0.38
42,resultsd,cleaning,keywords,0.5,Sivina Oy – Kotisiivous &amp; palvelut lapsiperheille ja kot,sivina.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,,True,Campmedia Oy,ADVERTISER_MISMATCH,mismatch,0.27
42,resultsd,hvac,keywords,0.65,"Kerrostalon lämmitys, lämmön talteenotto (PILP) ja maalämpö",smartheating.fi,A_ads_weak_site,,,,True,True,False,2,"stale_copyright,slow_response",wordpress,,,,True,Smart Heating Oy,ADVERTISER_MISMATCH,mismatch,0.18
42,resultsd,plumbing,keywords,0.5,Suunnos Oy | Käytännönläheistä LVI-suunnittelua.,suunnos.fi,A_ads_weak_site,,,,True,True,False,2,"stale_copyright,slow_response",webflow,,,,True,Medialuotsi OY,LIVE_CONFIRMED,likely_agency,0.23
42,resultsd,accounting,keywords,0.5,"Taloasema - Isännöintiä, jonka tunnet.",taloasema.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,,True,Taloasema Oy,LIVE_CONFIRMED,match,1.00
42,resultsd,,none,0.0,Täyden palvelun veneliike | Venekeskus.com,venekeskus.com,C_ads_ok_site,,,,True,True,True,0,,,,,,True,Kemiönsaaren Venekeskus Oy,ADVERTISER_MISMATCH,mismatch,0.65
37,resultsd,restaurant,keywords,0.5,ADA Isännöinti - Etusivu,adaisannointi.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,,True,Netice Oy,ADVERTISER_MISMATCH,mismatch,0.46
37,resultsd,hotel,keywords,0.65,Talotekninen suunnittelu - Insinööritoimisto Äyräväinen,ayravainen.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,,True,Äyräväinen Oy,LIVE_CONFIRMED,match,0.90
37,resultsd,hvac,keywords,0.5,Suunnittelupalvelut lämpöpumppuratkaisuihin | Atlas Energia,atlasenergia.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,elementor,,,,True,Atlas Energia Oy,LIVE_CONFIRMED,match,1.00
37,resultsd,cleaning,keywords,0.5,Siivous - Onnellisempaa arkea puhtaassa kodissa - Kotova,kotova.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,,True,Kotova Oy,LIVE_CONFIRMED,match,1.00
37,resultsd,cleaning,keywords,0.5,Siivous- ja kotiapupalvelut | Kotiapusi Oy,kotiapusi.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,webflow,,,,True,AITEK Solutions Oy,ADVERTISER_MISMATCH,mismatch,0.42
37,resultsd,plumbing,keywords,0.5,"LVI-insinööritoimisto Karlsson, Karves &amp; Co Oy",lvitsto-karlsson.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,,True,"LVIS-insinööritoimisto Karlsson, Karves & Co Oy",LIVE_CONFIRMED,match,0.99
37,resultsd,cleaning,keywords,0.5,Välittävää siivouspalvelua Jyväskylässä | Puhdina,puhdina.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,webflow,,,,True,Puhdina Oy,LIVE_CONFIRMED,match,1.00
37,resultsd,cleaning,keywords,0.5,"Siivousfirma, siivouspalvelu, kotisiivous &amp; siivousapu J",siivoussolina.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,,True,Kiinteistöpalvelu Solina Oy,ADVERTISER_MISMATCH,mismatch,0.32
37,resultsd,,none,0.0,Kotimaiset veneilytarvikkeet soutamiseen | Soutu Finland Oy,soutu.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,,,,,True,Soutu Finland Oy,LIVE_CONFIRMED,match,1.00
37,resultsd,,none,0.0,Isännöintitoimisto | Lopen Talo &amp; Tili isännöinti,talotili.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,,,,,True,Lopen Talo & Tili Oy,LIVE_CONFIRMED,match,0.90
